R,G,B
772,178,142
772,178,142
772,178,143
771,178,142
772,178,142
771,178,142
771,178,142
772,178,142
772,178,142
772,178,142
771,178,142
772,178,142
770,178,142
772,178,142
772,178,143
772,178,142
772,178,142
772,178,143
772,178,143
771,178,142
772,178,142
771,178,142
771,178,142
771,178,142
771,178,142
769,178,142
769,178,142
768,177,142
764,176,141
765,176,141
763,176,141
762,175,140
758,174,140
759,174,140
758,174,139
756,174,139
758,175,140
759,174,140
760,175,140
762,176,140
763,176,141
763,176,141
765,176,141
766,177,141
766,177,141
767,177,141
768,177,142
767,177,142
768,177,141
765,177,141
763,176,141
765,176,141
764,176,141
764,176,141
763,176,141
764,176,141
763,176,141
763,176,141
764,176,141
764,176,141
764,176,141
764,176,141
765,176,141
764,176,141
765,176,141
764,176,141
763,175,140
764,176,140
762,175,140
761,175,140
758,174,139
759,174,139
758,174,139
760,174,140
760,174,140
761,175,140
760,175,140
761,175,140
761,175,140
757,174,139
759,175,140
758,175,140
754,174,139
747,171,137
744,170,136
739,168,135
743,168,135
745,169,136
753,173,139
757,175,140
759,175,140
757,174,140
754,174,140
752,174,139
751,174,139
748,175,140
748,175,140
745,173,138
742,171,137
745,171,137
750,173,138
756,175,140
761,176,141
759,175,140
759,175,140
766,178,142
767,177,142
765,177,141
762,176,141
759,174,139
757,173,139
758,173,139
757,172,138
760,172,138
763,173,139
765,174,139
766,175,140
763,175,140
761,174,139
758,175,139
757,175,140
756,175,140
754,175,140
751,175,139
755,175,140
761,176,140
766,176,141
761,175,140
764,179,143
760,175,140
766,178,142
777,182,145
772,179,143
766,175,140
765,178,142
762,176,140
757,173,138
762,177,141
762,177,141
766,179,143
761,178,142
756,174,139
758,174,139
762,177,141
762,177,141
754,176,140
750,177,140
748,177,140
738,173,137
738,173,138
740,174,138
746,175,139
747,174,138
749,173,138
759,176,140
768,181,144
794,183,146
802,185,148
795,184,147
789,183,146
784,182,145
780,183,145
778,183,146
778,184,146
779,184,147
776,184,146
778,185,147
779,186,148
776,186,147
773,183,145
770,181,144
768,180,143
769,180,143
768,179,142
770,178,142
765,176,141
751,175,139
723,168,134
705,162,129
710,163,134
730,172,137
741,177,141
740,175,139
736,172,138
735,171,137
736,171,136
739,172,137
739,171,137
739,171,137
742,174,138
746,176,140
751,177,141
754,178,142
752,177,141
750,175,140
749,174,139
747,174,139
747,174,139
746,175,140
746,175,140
745,173,139
743,171,137
746,172,138
745,172,138
739,172,137
735,171,137
738,173,138
744,177,140
746,178,141
744,177,141
744,176,140
743,176,140
742,176,140
742,177,140
750,179,142
751,180,142
737,173,137
737,178,141
728,177,140
729,173,138
724,169,135
722,167,133
728,168,134
740,175,138
747,180,142
745,182,144
745,177,140
734,172,137
727,166,133
732,168,135
742,171,137
745,172,137
751,176,141
753,178,142
751,179,142
748,177,141
747,176,140
740,173,138
737,171,136
735,170,136
737,170,136
742,171,137
745,172,137
743,171,136
741,170,136
739,169,135
738,169,135
737,169,135
740,171,136
744,171,137
746,171,137
750,171,137
749,170,136
748,170,136
749,172,137
750,174,139
747,174,138
746,172,137
746,170,136
748,170,136
750,171,136
759,173,138
755,172,138
759,173,138
758,173,138
755,173,138
750,174,138
749,178,141
739,174,138
726,167,133
735,170,135
744,172,137
746,173,137
745,173,137
746,174,138
741,173,137
745,174,138
740,173,137
725,169,134
730,170,135
726,168,134
721,166,133
714,165,131
728,168,134
734,169,135
724,167,133
738,170,136
731,168,134
739,170,136
741,171,136
742,171,136
728,168,134
742,171,136
743,171,136
738,170,135
742,171,136
741,171,136
741,172,137
739,172,136
738,171,136
739,170,135
749,172,137
753,173,138
756,173,138
755,174,139
760,180,142
750,178,141
728,169,134
723,166,132
720,165,131
718,164,131
721,164,131
726,164,131
731,165,132
742,168,135
748,170,136
758,173,138
758,174,139
755,174,139
751,172,138
746,169,136
739,166,133
727,164,131
714,163,130
695,160,128
684,157,126
685,158,126
693,160,128
711,164,131
718,166,133
726,169,135
724,169,135
726,171,136
728,168,135
733,168,135
721,165,132
718,165,132
715,163,131
711,163,131
721,172,137
723,176,139
706,168,133
684,159,127
688,160,127
697,163,130
698,164,131
702,167,133
706,171,135
704,172,135
702,171,135
704,165,131
713,167,133
725,171,137
725,172,137
709,168,133
697,167,133
710,168,134
711,167,133
708,166,132
711,165,132
710,166,133
709,165,132
714,168,133
719,170,135
716,168,134
714,166,133
709,166,132
707,165,132
711,169,135
716,171,136
702,162,130
682,156,125
702,166,132
728,170,136
734,171,136
734,173,137
734,173,137
732,174,137
740,177,140
744,180,142
738,178,140
739,177,140
750,179,141
752,180,142
754,178,141
761,179,142
756,178,141
761,178,141
765,179,142
767,179,142
765,179,142
772,180,143
778,181,144
780,181,144
783,182,145
781,181,144
784,182,145
780,180,144
781,181,144
777,180,143
782,181,144
782,181,144
780,181,144
784,182,145
784,182,145
781,182,145
784,182,145
784,182,145
776,181,144
779,183,145
773,182,145
772,181,144
764,178,141
754,176,140
751,176,140
737,172,137
739,170,136
732,168,134
738,170,136
743,172,138
744,172,137
741,170,136
745,170,136
748,171,137
751,175,139
763,179,142
759,177,141
753,176,140
754,174,138
748,172,137
748,174,138
751,175,139
746,172,137
754,178,141
747,174,139
742,172,137
750,176,140
748,175,139
746,172,137
748,172,138
752,174,139
754,174,139
754,174,139
751,175,140
750,177,141
742,175,139
732,170,135
735,171,136
737,171,136
733,168,134
730,168,134
738,171,136
735,171,137
735,172,136
732,172,137
727,172,136
723,170,134
721,169,134
723,170,135
719,170,135
717,167,133
716,167,133
717,169,134
719,171,135
722,172,136
721,170,135
734,173,137
734,172,137
732,172,137
741,173,137
738,171,136
739,173,138
735,173,137
742,173,138
743,172,137
744,172,138
750,174,139
752,175,140
746,171,137
744,170,136
739,169,135
734,169,135
740,171,137
740,172,137
743,171,137
736,168,135
733,166,133
729,166,133
729,166,133
735,169,135
