R,G,B
1182,907,445
1183,908,445
1184,909,446
1183,908,445
1183,908,445
1183,908,445
1183,908,445
1182,907,445
1183,908,445
1183,908,446
1183,908,446
1182,907,445
1182,907,445
1179,905,444
1179,905,444
1179,904,444
1177,903,443
1175,902,443
1174,900,442
1173,899,442
1170,897,441
1164,892,439
1158,885,436
1153,883,435
1151,882,435
1149,880,434
1130,865,428
1077,823,408
1046,800,397
1042,796,395
1002,764,379
913,694,345
850,644,319
836,633,314
843,639,317
827,626,311
779,589,292
756,571,284
778,588,292
852,645,320
917,696,345
915,694,344
844,637,317
802,605,301
823,620,308
839,632,314
829,609,303
786,589,294
761,566,283
760,558,279
778,563,283
798,568,288
839,584,299
848,565,294
803,504,268
761,446,242
732,404,224
741,371,211
743,330,194
724,302,183
708,250,162
693,216,148
699,198,143
742,195,146
773,193,149
761,186,146
735,177,140
755,180,143
812,192,153
841,197,158
842,197,157
841,197,157
870,203,163
915,214,171
988,231,185
1055,247,197
1068,248,199
1071,248,198
1073,248,199
1073,248,199
1072,248,198
1073,248,199
1073,249,199
1075,249,199
1075,249,199
1075,249,199
1075,249,199
1075,249,199
1075,249,199
1074,248,199
1075,249,199
1075,249,199
1075,249,199
1075,249,199
1078,250,200
1076,249,199
1072,247,198
1070,247,198
1091,253,202
1103,256,205
1102,256,205
1102,257,205
1101,256,205
1102,257,205
1102,256,204
