R,G,B
1064,281,239
1064,281,239
1064,281,239
1064,281,239
1064,281,239
1064,281,239
1064,281,239
1064,281,239
1063,281,239
1064,281,239
1064,281,239
1064,281,239
1064,281,239
1064,281,239
1063,281,239
1063,280,239
1063,280,239
1063,280,239
1063,280,239
1062,280,239
1061,280,238
1061,279,238
1060,279,238
1058,278,238
1057,278,237
1057,278,237
1056,278,237
1054,277,237
1052,277,236
1050,276,236
1050,276,236
1049,276,236
1048,275,235
1047,275,235
1047,275,235
1047,275,235
1047,275,235
1048,275,235
1048,275,235
1049,276,235
1050,276,236
1051,276,236
1051,276,236
1052,276,236
1053,277,236
1054,277,237
1056,278,237
1057,278,237
1058,278,237
1058,278,237
1057,278,237
1055,277,237
1053,277,236
1050,276,235
1048,275,235
1046,274,234
1045,273,234
1044,273,233
1042,272,233
1041,271,232
1040,271,232
1038,270,231
1036,269,230
1035,269,230
1033,268,230
1033,268,230
1033,268,230
1035,269,230
1037,269,230
1038,270,231
1042,271,232
1044,272,233
1045,272,233
1044,272,232
1043,272,232
1042,271,232
1043,272,232
1044,269,231
1049,270,231
1042,267,229
1034,265,227
1025,263,225
1028,266,228
1029,267,228
1029,267,228
1024,266,227
1024,266,227
1025,266,228
1022,264,226
1022,263,226
1029,265,227
1031,266,228
1032,266,228
1032,267,229
1034,267,229
1035,268,229
1036,268,230
1038,269,230
1039,269,230
1041,270,231
1041,270,231
1041,271,231
1042,271,232
1043,272,232
1045,273,233
1042,272,232
1035,266,228
1035,267,229
1031,270,231
1031,269,230
1031,269,230
1031,269,230
1033,269,230
1035,270,230
1039,271,232
1040,271,232
1044,268,230
1044,268,231
1048,268,231
1061,271,233
1067,274,235
1053,274,234
1026,271,231
1024,274,232
1037,269,230
1031,265,227
1023,266,227
1029,267,228
1032,266,227
1014,260,223
1029,265,226
1025,267,228
1019,261,223
1034,266,228
1029,262,225
1016,259,222
1020,261,224
1030,266,228
1017,262,225
1009,258,222
1024,263,226
1042,267,229
1031,264,226
1019,263,225
1025,262,225
1017,258,222
1016,257,221
1029,263,226
1009,257,221
1007,258,222
1023,262,225
1005,253,218
1019,262,225
1011,266,227
1007,260,223
1022,269,230
1021,265,227
1010,258,222
1013,258,222
1029,265,227
1022,258,222
1012,254,219
1009,257,220
1011,256,220
1029,260,224
1028,260,224
1017,253,219
1016,256,220
998,249,215
1002,252,217
1014,255,219
1017,259,223
1008,257,221
998,250,216
1003,253,218
1006,255,219
997,250,216
994,252,219
991,252,217
998,252,217
1002,251,216
1002,251,216
1002,253,218
1015,258,221
1127,285,244
1095,273,235
1049,259,223
1048,258,223
1068,268,231
1069,274,235
1053,271,232
1012,259,223
939,232,201
883,216,188
848,213,184
837,212,182
861,216,186
917,236,202
940,243,212
966,250,214
982,248,214
985,245,212
992,248,214
993,251,216
995,250,216
993,248,214
995,250,216
998,252,217
1003,255,220
1030,257,223
1027,260,225
1015,258,223
1011,255,220
1014,258,222
1009,255,220
1013,257,221
1017,260,224
1016,259,223
1015,256,221
1017,257,221
1016,258,222
1013,261,224
1008,258,222
1015,257,221
1024,259,223
1024,259,223
1012,255,220
1006,254,219
1005,256,220
1007,257,221
1013,256,220
1012,257,221
1005,254,219
1011,259,222
1011,258,222
1023,261,224
1022,260,223
1029,263,226
1021,261,225
1008,254,219
1025,260,224
1030,262,225
1016,258,222
1018,262,225
1013,260,224
1020,262,225
1015,259,223
1017,261,224
1015,255,220
1014,255,220
1014,256,220
1019,258,223
1016,257,221
1028,259,224
1029,258,223
1024,257,222
1020,259,223
1012,259,223
1014,261,224
1022,264,226
1026,261,224
1031,262,225
1027,258,223
1020,259,223
1018,259,223
1006,255,220
996,254,219
1004,258,222
1012,257,222
1022,262,225
1028,264,227
1030,266,229
1032,266,229
1039,271,233
1035,269,231
1035,267,230
1027,262,226
1017,260,224
1027,260,224
1002,256,220
963,250,210
947,242,208
940,242,207
952,250,213
956,250,214
955,248,213
965,244,211
1003,256,220
1020,261,225
1024,262,226
1024,264,227
1018,260,224
1045,272,233
1044,265,229
1014,256,221
999,252,217
971,242,209
968,242,209
969,243,210
979,246,212
984,249,215
986,250,215
985,247,213
992,250,215
990,248,214
1004,250,215
998,250,215
991,251,215
986,249,214
984,250,214
986,251,215
988,254,217
996,254,218
995,254,217
993,253,217
991,253,217
990,253,217
990,253,217
992,254,217
994,255,218
996,256,219
998,257,219
999,258,220
1000,258,220
1001,259,221
1002,259,221
1003,259,221
1003,260,221
1003,260,221
1003,260,222
1003,260,222
1003,260,222
1003,260,222
1003,260,222
1003,260,222
