R,G,B
1290,1072,592
1290,1072,592
1290,1072,591
1290,1072,591
1290,1072,591
1290,1072,591
1290,1072,591
1290,1072,591
1290,1072,592
1290,1072,592
1290,1072,592
1290,1072,592
1290,1072,592
1290,1073,592
1291,1073,592
1291,1073,592
1291,1073,592
1291,1073,592
1291,1073,592
1291,1073,592
1291,1073,592
1291,1073,592
1291,1073,592
1291,1073,592
1291,1073,592
1292,1073,592
1291,1073,593
1291,1073,592
1291,1073,592
1291,1072,592
1291,1072,592
1291,1072,592
1291,1072,592
1290,1072,592
1290,1072,592
1290,1072,592
1289,1071,591
1289,1071,591
1287,1070,591
1284,1067,590
1278,1063,588
1273,1058,585
1269,1055,584
1269,1055,584
1267,1054,583
1264,1052,582
1263,1051,581
1269,1057,585
1295,1079,597
1336,1111,613
1350,1116,605
1324,1072,582
1221,961,515
1111,854,455
1048,788,420
992,742,397
1053,832,452
1254,1038,574
1334,1099,609
1148,923,504
1214,981,542
1131,908,497
1128,912,502
1229,989,541
1170,924,498
1106,879,476
1201,954,520
1099,857,461
1134,909,496
1256,1024,564
1261,942,509
1100,866,466
1101,867,469
1091,846,454
1078,856,466
1171,945,521
1216,985,543
1187,949,518
1117,878,473
1087,861,466
1149,926,507
1204,974,532
1181,939,509
1073,844,455
1038,827,449
1135,912,499
1173,935,507
1090,863,465
1091,872,474
1142,906,491
1102,875,470
1105,880,473
1142,905,488
1109,872,469
1032,807,432
979,761,409
987,777,422
1097,881,484
1237,1000,552
1211,966,527
1113,890,482
1130,905,491
1143,905,488
1074,842,451
1048,832,450
1109,896,490
1178,959,527
1187,954,521
1057,838,451
1080,863,467
1129,894,480
1088,850,427
1134,864,453
1022,769,404
1057,797,419
1107,869,463
1226,997,539
1216,1004,548
1075,910,502
996,859,470
1171,987,537
1325,1091,592
1333,1076,581
1203,950,510
1151,909,488
1193,968,523
1221,988,536
1222,971,524
1258,1023,553
1358,1133,612
1387,1163,632
1356,1132,590
1297,1072,579
1339,1109,601
1341,1111,604
1307,1080,587
1305,1081,587
1338,1105,599
1347,1102,597
1288,1038,560
1231,985,528
1326,1085,584
1489,1258,683
1551,1337,730
1607,1397,765
1620,1403,769
1557,1329,728
1434,1203,656
1381,1168,637
1459,1242,679
1401,1180,642
1312,1095,594
1215,997,542
1350,1124,614
1474,1233,670
1495,1259,687
1568,1323,721
1590,1352,735
1528,1304,710
1533,1300,709
1548,1341,736
1671,1462,808
1622,1403,773
1464,1228,667
1476,1245,678
1595,1393,770
1605,1422,788
1643,1444,798
1581,1360,745
1590,1366,749
1474,1262,693
1395,1178,627
1380,1133,613
1333,1110,602
1474,1287,710
1531,1344,744
1435,1223,671
1311,1067,575
1346,1093,588
1427,1178,637
1497,1264,691
1507,1297,715
1358,1162,642
1244,1041,570
1270,1050,573
1281,1065,585
1061,873,476
1052,854,463
1188,942,511
1233,978,532
1263,1006,547
1260,1006,547
1255,1004,545
1258,1007,547
1265,1013,549
1280,1027,557
1304,1050,570
1322,1070,582
1336,1085,590
1337,1087,591
1339,1090,591
1323,1074,582
1304,1057,572
1303,1056,572
1307,1059,574
1315,1067,579
1316,1068,579
1316,1068,579
1317,1069,580
1317,1069,580
1317,1069,580
1317,1069,580
1317,1069,580
1317,1070,580
1317,1069,580
1317,1069,580
1317,1069,580
1317,1069,580
1317,1069,580
