R,G,B
1120,1012,576
1120,1013,577
1121,1014,578
1121,1014,578
1121,1014,578
1121,1014,578
1120,1013,577
1120,1012,577
1119,1012,576
1118,1011,575
1118,1010,574
1118,1010,574
1118,1009,573
1118,1009,573
1119,1010,574
1120,1012,576
1122,1014,578
1122,1015,579
1123,1016,580
1123,1016,580
1123,1016,580
1123,1016,580
1123,1016,580
1123,1016,580
1123,1016,580
1123,1016,580
1123,1016,580
1123,1016,580
1123,1016,580
1122,1015,580
1122,1015,580
1121,1015,579
1114,1007,572
1106,1000,566
1104,997,565
1104,997,564
1101,994,563
1093,988,559
1086,980,555
1074,969,550
1059,955,542
1030,928,528
1015,916,520
1053,950,538
1084,983,556
1099,997,563
1126,1020,576
1112,1008,569
1036,936,529
1011,911,517
1038,936,532
1034,931,529
1036,927,524
1007,899,507
981,875,494
990,884,499
1005,900,509
995,894,507
984,885,502
979,881,500
979,881,499
1002,905,512
1056,956,540
1087,986,556
1108,1006,568
1094,992,561
1073,971,551
1039,940,534
1033,934,531
1036,936,532
1038,939,533
1046,946,535
1052,953,541
1041,947,537
1034,948,537
1077,990,560
1116,1021,577
1094,995,561
1068,965,543
1027,924,518
1033,928,522
1003,900,506
994,892,501
992,890,499
991,890,499
991,890,499
981,880,493
950,853,479
861,772,436
791,709,401
852,766,433
924,833,470
946,854,483
937,847,478
950,861,488
936,827,469
900,819,465
934,850,485
951,865,490
958,871,494
956,871,497
911,828,469
913,830,472
905,819,463
922,832,471
935,842,474
957,859,483
965,866,486
983,882,496
1014,914,513
1060,962,541
1086,992,560
1033,948,534
997,905,509
1000,902,508
1007,908,513
1026,925,524
1034,931,524
1053,946,530
1092,982,552
1097,987,556
1064,960,541
1083,980,554
1108,1003,568
1139,1031,584
1129,1022,576
1125,1016,571
1126,1016,572
1125,1015,569
1135,1022,574
1139,1025,575
1118,1002,561
1099,986,553
1037,934,528
1013,914,517
1038,937,528
1068,971,545
1136,1032,581
1062,957,536
1039,934,526
995,894,501
1028,925,520
1030,928,522
995,895,499
987,887,492
985,886,494
974,876,489
968,872,487
984,887,497
1001,902,505
1008,908,509
1003,904,504
1055,950,532
1091,985,552
1119,1013,567
1100,1000,559
1086,962,536
1062,957,534
1074,964,538
1084,974,544
1098,985,548
1105,990,552
1076,964,537
1019,912,509
952,851,476
874,780,436
832,743,416
843,752,421
867,773,434
887,791,442
968,865,481
1037,928,517
1049,942,526
1060,950,530
1037,928,516
1073,961,535
1075,967,541
1071,963,539
1095,984,551
1102,991,555
1094,983,547
1102,991,550
1131,1021,570
1152,1045,585
1146,1043,584
1151,1049,585
1189,1086,606
1214,1111,622
1203,1099,615
1132,1028,574
1110,1006,563
1095,990,555
1069,964,538
1087,979,549
1080,974,547
1050,946,526
1098,993,557
1082,981,548
1104,1000,561
1096,993,554
1092,990,552
1100,999,560
1078,976,548
1020,922,514
1060,960,538
1076,974,547
1047,946,528
1023,924,517
1003,904,505
989,893,498
1040,931,520
1058,947,527
1132,1014,563
1135,1020,566
1158,1045,584
1126,1020,574
1093,989,557
1076,973,540
1031,934,523
1049,954,538
1038,946,534
1012,922,519
994,895,502
992,884,494
1002,891,496
1034,924,514
1030,922,513
1050,946,528
1123,1015,567
1118,1015,585
1169,1066,595
1196,1085,608
1136,1027,573
1130,1020,568
1140,1031,577
1127,1018,569
1104,994,554
1088,977,543
1096,984,547
1096,986,548
1112,1003,560
1132,1020,566
1143,1032,576
1143,1033,576
1173,1059,592
1171,1059,592
1175,1060,592
1159,1047,585
1181,1068,599
1171,1060,593
1141,1036,580
1155,1055,593
1173,1074,603
1196,1079,605
1161,1058,592
1143,1041,584
1119,1019,573
1118,1018,572
1120,1019,572
1119,1017,568
1159,1052,590
1151,1043,583
1136,1026,573
1134,1022,572
1121,1007,563
1135,1030,574
1150,1035,579
1128,1010,564
1095,980,549
1044,937,525
1035,940,529
1027,934,528
1009,913,515
1001,904,510
971,875,494
972,879,498
966,875,495
996,901,510
988,894,505
1021,923,522
1071,959,539
1108,992,557
1144,1028,577
1156,1039,582
1179,1066,596
1198,1088,612
1207,1096,617
1195,1084,608
1163,1056,594
1133,1029,576
1154,1048,588
1162,1058,594
1181,1078,605
1127,1029,575
1121,1020,573
1112,1011,566
1112,1011,568
1114,1012,567
1115,1013,566
1152,1050,589
1148,1050,588
1176,1075,602
1179,1078,604
1180,1074,602
1150,1043,584
1132,1022,571
1113,1004,560
1113,1003,559
1149,1033,578
1144,1028,575
1150,1033,577
1161,1043,583
1166,1047,585
1166,1047,585
1167,1048,585
1167,1048,586
1167,1049,586
1167,1048,586
1167,1048,586
1167,1049,586
1167,1048,586
1167,1048,585
1166,1048,585
1167,1048,585
1169,1050,587
1169,1051,588
1170,1051,588
1170,1051,588
1170,1051,588
1170,1052,589
1171,1052,589
1172,1053,589
1172,1053,589
1172,1053,589
1172,1053,589
1172,1053,589
1172,1053,589
1172,1053,589
1172,1053,589
1172,1053,589
1172,1053,590
1172,1053,590
1172,1053,589
1172,1053,589
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1054,590
1172,1053,590
1172,1053,590
1173,1054,590
1172,1053,590
1172,1054,590
1172,1053,590
1172,1053,590
1173,1054,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,590
1172,1053,589
1172,1053,589
1172,1053,589
1171,1053,589
1171,1052,588
1171,1052,588
1170,1051,587
1170,1051,587
1169,1050,587
1170,1051,587
1170,1051,587
1170,1050,587
1170,1051,587
1169,1050,587
1169,1051,587
