R,G,B
918,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
917,219,161
916,219,161
916,219,161
916,219,161
916,219,161
916,219,161
916,219,161
916,219,161
915,218,161
915,218,161
915,218,160
914,218,160
914,218,160
914,218,160
914,218,160
914,218,160
914,218,160
914,218,160
914,218,160
914,218,160
914,218,160
915,218,161
916,218,161
915,218,161
915,218,161
915,218,161
915,218,161
914,218,161
915,218,161
916,219,161
916,219,162
914,218,161
908,214,158
897,207,154
887,204,152
881,204,152
877,205,152
874,204,151
868,201,149
870,200,149
880,207,154
878,203,151
859,199,148
832,195,145
840,196,145
845,196,145
845,196,145
820,190,141
747,175,130
725,171,126
749,175,129
755,178,131
765,181,134
784,181,134
808,187,139
814,192,142
809,188,140
802,186,138
803,187,139
804,186,138
805,186,139
809,187,140
802,182,136
805,184,140
818,190,141
815,189,140
803,186,138
799,185,138
804,186,138
810,190,141
814,192,142
808,187,139
809,189,140
804,187,139
800,189,140
793,186,138
790,183,136
785,184,136
787,188,139
793,188,139
791,186,138
793,187,138
798,187,139
796,187,138
800,188,139
801,188,139
800,188,139
798,188,139
797,188,139
794,187,138
791,188,139
780,181,134
756,177,131
729,172,127
769,181,134
797,187,138
770,178,132
755,179,132
751,177,131
755,175,130
751,176,130
749,173,129
752,175,130
730,172,127
732,169,126
724,167,124
716,168,125
711,168,124
699,163,121
700,163,123
708,168,124
716,171,126
717,166,123
722,167,124
751,176,130
754,179,132
751,177,131
738,172,127
736,172,128
721,168,125
708,167,124
707,166,123
707,165,122
733,170,126
733,171,127
724,171,126
751,175,129
813,189,140
810,189,139
805,193,141
812,195,143
776,184,135
760,180,132
739,174,128
734,173,127
738,173,128
738,175,129
749,176,130
776,181,134
837,192,143
829,192,142
798,185,137
802,188,139
799,187,137
801,186,137
811,187,138
820,190,141
836,197,145
842,198,146
845,200,147
831,199,146
811,195,143
764,189,138
697,176,127
629,158,113
601,150,108
556,138,99
552,138,99
578,144,103
594,149,107
603,152,109
606,153,109
609,153,110
614,154,111
617,155,111
625,156,112
628,156,113
633,156,113
639,157,114
636,159,114
631,157,113
642,159,115
657,163,118
657,162,117
658,161,117
663,162,118
669,164,119
671,165,120
672,165,120
672,166,120
672,167,120
672,173,122
674,177,124
673,175,123
670,168,120
669,164,119
669,164,119
670,164,119
670,164,119
670,164,119
669,163,119
669,163,119
667,163,119
664,162,118
665,161,118
665,162,119
666,161,118
668,161,118
674,162,119
676,163,120
678,164,121
679,163,120
677,163,120
671,163,120
670,162,119
678,165,121
691,167,123
776,184,136
838,196,145
835,197,146
832,196,145
831,196,145
831,195,144
829,195,144
828,194,144
825,190,141
829,192,143
832,193,144
830,193,143
827,193,143
822,191,142
815,188,140
811,187,139
819,191,142
838,193,144
842,196,145
841,195,145
846,196,146
839,194,145
844,197,146
842,196,146
839,195,145
840,197,146
838,197,146
839,200,148
845,200,148
849,200,148
849,200,148
848,200,148
854,203,149
850,201,148
842,201,148
837,199,147
838,202,148
837,200,147
838,203,149
833,202,147
826,198,145
824,199,145
815,196,144
800,188,139
798,189,139
803,189,140
802,189,140
807,191,141
788,185,137
784,185,136
790,189,140
813,191,141
823,196,145
829,196,145
828,195,144
822,192,142
817,192,142
822,194,143
818,191,141
825,192,142
827,192,142
842,196,146
843,198,146
822,194,144
830,197,145
828,195,144
823,195,144
816,192,143
818,193,143
824,195,144
825,194,144
838,197,146
845,201,149
842,197,145
843,196,146
843,194,145
848,195,145
849,195,146
849,194,145
854,197,146
867,201,149
861,198,147
869,199,149
866,198,148
844,199,148
799,186,138
742,167,125
770,168,127
824,180,136
875,200,149
919,218,161
924,219,162
909,209,155
908,208,155
905,209,156
902,210,156
898,209,155
893,207,154
887,203,151
882,201,150
873,199,149
870,199,149
861,195,146
851,196,146
846,195,146
842,190,143
827,187,140
821,188,140
815,186,139
826,189,141
793,180,135
775,177,132
762,177,132
754,173,129
757,174,129
762,177,132
763,177,132
758,174,130
773,181,134
778,183,136
780,180,134
780,180,134
786,181,135
792,186,138
786,183,136
788,178,133
789,182,135
791,185,137
793,187,138
784,180,134
784,179,134
799,185,137
806,188,140
805,186,139
800,184,137
799,182,136
802,183,136
803,184,137
806,186,139
806,188,140
809,189,140
817,190,141
819,191,141
822,191,142
816,189,140
817,187,139
834,191,142
841,193,143
845,194,144
848,194,145
850,195,145
851,195,145
853,196,146
853,196,146
854,196,146
853,196,146
853,196,146
852,196,146
853,196,146
854,196,146
854,196,146
853,196,146
853,196,146
853,196,146
853,196,146
852,196,146
853,196,146
853,196,146
854,196,146
858,198,147
858,198,147
858,198,147
858,198,147
858,198,147
858,198,147
854,197,147
852,196,146
850,196,146
851,196,146
851,196,146
849,197,146
851,199,148
850,199,148
850,199,148
840,194,144
832,193,143
827,193,143
818,189,141
817,188,140
817,190,142
814,190,141
812,190,141
811,190,141
808,190,141
803,188,140
799,185,138
797,184,137
796,185,138
799,187,139
799,186,138
802,187,139
806,188,140
801,186,138
805,185,138
801,185,138
786,183,136
784,184,136
793,185,137
798,186,138
805,187,139
808,188,140
810,188,140
815,191,142
818,191,142
819,193,143
817,190,141
821,191,142
829,196,145
824,193,143
815,189,140
815,191,141
811,188,139
815,189,140
823,191,142
837,198,146
848,200,148
853,198,147
846,194,144
848,195,145
850,198,147
848,197,146
840,195,145
835,194,144
836,196,145
829,195,144
825,193,143
830,196,145
839,199,147
827,193,143
828,194,144
826,194,144
832,195,144
833,195,145
826,195,144
818,193,143
818,196,144
816,196,145
811,193,143
810,195,144
814,195,144
818,196,145
824,199,147
822,197,146
818,195,144
818,193,143
817,193,143
816,192,141
812,190,141
808,188,140
813,190,141
778,183,136
744,173,129
757,174,130
784,188,139
784,187,139
781,183,136
782,183,136
781,183,136
782,183,136
785,185,138
789,187,139
788,186,138
787,185,137
788,186,138
793,189,140
796,189,140
796,188,139
799,188,139
798,188,139
800,189,140
802,188,140
808,189,141
803,188,140
799,188,140
790,187,139
783,185,138
776,185,137
779,189,140
776,187,138
780,187,139
789,191,142
799,191,142
810,192,143
815,194,144
796,186,138
783,182,136
781,189,140
775,189,140
768,187,138
767,186,137
766,185,137
769,184,136
772,184,136
779,184,136
786,184,137
786,183,136
787,182,135
801,187,139
811,193,143
819,198,146
820,199,147
822,200,147
823,200,148
822,200,147
817,197,146
798,185,138
784,177,133
782,180,134
775,178,133
781,182,135
792,188,139
797,189,140
794,187,139
788,184,137
786,184,136
788,184,137
788,184,136
789,184,137
792,185,137
796,186,138
799,187,138
800,187,139
801,187,139
802,188,139
803,188,139
803,188,139
803,188,139
803,188,139
803,189,139
804,189,139
804,189,140
805,189,140
805,189,140
806,190,140
809,190,141
814,192,142
816,192,142
816,192,142
816,192,142
817,193,142
817,193,142
817,193,142
817,192,142
816,192,142
816,192,142
816,192,142
816,192,142
816,192,142
815,192,142
816,192,142
816,192,142
816,192,142
816,192,142
814,192,142
810,191,141
809,190,141
807,190,140
806,189,140
805,189,140
805,189,140
806,189,140
807,189,140
808,190,140
809,190,140
810,190,140
812,190,141
811,190,141
811,190,141
