R,G,B
832,201,148
841,203,149
841,203,149
841,203,149
833,201,148
841,203,149
841,203,149
841,204,149
841,204,149
842,204,149
837,203,149
841,204,149
840,203,149
832,202,148
840,203,149
838,203,149
838,203,149
831,201,148
838,203,149
829,201,147
833,202,148
830,201,147
831,201,147
829,201,147
832,201,147
830,201,147
821,199,145
826,201,146
823,201,146
823,203,146
822,203,146
824,204,147
816,204,146
823,211,149
824,220,152
823,227,154
825,241,159
830,272,169
838,321,186
862,409,220
920,530,269
927,568,297
945,629,305
946,665,317
946,692,326
933,703,328
950,727,339
959,738,345
956,737,343
952,733,340
938,720,332
945,725,334
942,722,332
952,730,336
949,727,334
958,733,336
958,732,336
954,729,335
942,720,330
949,726,333
946,723,332
940,718,329
945,722,331
947,724,333
939,718,330
948,725,333
947,725,333
941,720,331
950,727,334
950,728,334
949,726,334
943,722,332
950,727,334
951,728,335
946,724,333
951,728,335
951,728,335
944,723,332
951,728,335
953,730,335
943,722,332
952,729,335
952,729,335
953,729,335
945,723,332
954,730,335
953,730,335
953,730,335
953,730,335
953,730,335
946,724,333
953,730,335
952,729,335
945,723,332
953,729,335
953,729,335
953,730,335
945,724,332
954,730,336
946,724,333
957,733,337
956,732,337
956,732,336
952,729,335
962,737,339
961,737,339
953,731,336
960,735,338
958,733,337
956,731,336
