R,G,B
1003,256,191
1003,256,191
1003,256,191
1003,256,191
1003,256,191
1003,256,191
1003,256,191
1003,256,191
1003,256,191
1003,256,191
1003,256,191
1002,255,191
1002,255,191
1002,255,191
1002,255,191
1002,255,191
1002,255,191
1002,255,191
1001,255,191
1001,255,191
1000,254,190
1000,254,190
998,253,189
997,252,189
996,252,189
998,253,189
999,253,189
999,253,189
999,253,189
998,253,189
998,252,189
997,252,189
996,252,188
995,252,188
996,252,189
995,252,188
993,251,188
993,251,188
993,251,188
997,252,189
997,252,189
995,252,188
995,252,188
1002,254,190
1002,254,190
999,253,189
997,252,188
992,251,188
994,252,188
982,250,187
977,248,186
974,247,185
972,247,185
973,248,185
968,248,185
964,245,184
958,242,182
961,244,182
960,244,182
959,245,183
958,246,183
952,244,182
951,239,179
953,239,179
958,238,179
962,240,180
960,238,179
966,244,183
959,241,180
961,241,181
951,236,177
953,241,180
959,238,178
968,243,182
953,238,178
963,243,182
951,236,177
957,237,178
951,238,179
960,240,180
953,237,178
948,236,181
967,241,181
954,235,177
931,231,174
954,238,179
951,236,178
935,229,173
949,236,177
952,237,178
934,231,174
939,234,176
952,236,178
947,232,175
944,231,174
956,238,179
944,232,174
955,243,182
951,238,178
962,238,179
945,236,177
960,236,177
945,232,175
952,235,176
961,237,179
960,235,177
959,234,176
953,232,175
962,236,177
967,238,178
947,229,173
942,227,171
965,238,179
957,235,177
952,233,176
947,232,175
948,233,176
948,233,175
958,236,177
962,236,177
957,234,176
954,234,176
962,234,176
951,231,174
970,243,182
949,238,179
881,216,164
842,198,150
794,198,149
787,196,147
846,214,161
895,227,170
900,226,169
901,223,168
893,219,165
941,233,175
984,241,181
931,225,170
931,228,172
943,233,175
934,231,174
930,232,175
940,234,176
934,228,172
939,229,173
947,236,178
936,232,175
935,235,176
939,236,177
944,235,177
927,230,173
931,232,175
931,234,175
929,233,175
937,232,174
941,232,174
946,236,177
948,234,176
950,237,178
951,238,178
949,238,178
950,235,177
958,238,176
961,236,178
959,235,177
951,237,178
950,235,177
948,233,175
949,235,177
949,236,178
966,243,182
959,241,181
963,240,180
966,240,180
968,243,182
958,236,178
973,244,183
962,238,179
959,240,180
964,244,182
958,241,180
959,244,182
964,243,182
955,238,179
960,238,179
960,236,178
965,236,179
962,237,179
964,239,180
963,238,179
971,240,180
975,242,182
977,242,182
978,247,185
975,245,184
966,242,182
970,245,184
969,244,183
964,242,182
963,236,179
973,238,180
978,243,183
965,234,177
975,242,182
964,238,180
953,236,178
957,240,181
956,240,181
957,240,182
959,241,182
968,244,185
976,249,187
975,246,186
975,248,187
974,247,186
972,247,186
973,247,186
969,246,185
965,244,184
953,239,180
940,236,178
939,236,178
937,236,178
931,234,176
933,235,177
938,236,178
943,237,178
945,237,178
946,237,179
946,238,179
946,238,179
946,238,179
947,238,180
946,238,180
946,239,180
946,238,180
946,238,180
946,239,180
947,239,180
948,239,180
948,239,180
949,239,180
949,239,180
949,240,180
949,239,180
949,239,180
949,239,180
949,239,180
949,239,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,239,180
949,240,180
949,240,180
949,240,180
949,240,180
949,239,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
950,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,240,180
949,239,180
949,240,180
