R,G,B
1062,840,403
1064,842,404
1064,843,404
1062,841,403
1056,836,400
1057,837,400
1060,839,401
1062,841,402
1062,841,401
1060,839,400
1056,835,398
1050,830,395
1045,825,393
1046,825,393
1044,824,393
1040,822,392
1047,828,395
1051,831,397
1055,834,398
1054,834,398
1056,836,399
1055,835,398
1054,834,398
1055,835,399
1057,837,400
1058,839,402
1059,839,402
1059,839,402
1059,839,402
1057,837,401
1056,835,399
1056,836,399
1056,836,399
1057,836,400
1055,835,399
1054,834,398
1055,835,399
1055,836,400
1059,838,402
1061,840,403
1061,841,404
1062,842,405
1063,843,405
1063,843,405
1063,843,406
1064,843,406
1064,843,406
1064,843,406
1064,844,406
1065,844,406
1065,844,407
1067,845,407
1068,846,408
1068,846,408
1068,846,408
1068,846,408
1068,846,408
1067,845,407
1066,844,407
1064,843,406
1063,841,405
1061,840,404
1060,839,404
1059,839,403
1058,838,403
1059,838,403
1059,838,403
1050,831,400
1053,834,401
1057,837,402
1057,837,402
1056,836,402
1056,836,402
1056,836,402
1055,835,402
1035,814,390
1015,791,376
1004,773,361
1044,806,374
1091,855,402
1123,890,425
1051,821,388
1018,777,359
1092,839,387
1156,902,421
1223,983,466
1278,1032,482
1283,1029,477
1278,1023,474
1356,1095,508
1387,1135,529
1465,1222,574
1461,1227,581
1215,1017,485
1040,857,409
1111,894,429
1124,905,435
1130,902,430
1117,883,416
1066,833,383
1056,797,364
897,682,316
1009,795,374
1105,878,412
1146,892,411
1048,787,357
953,710,324
946,726,336
975,756,352
1025,799,373
1004,774,360
973,761,355
1074,850,400
1154,905,423
1085,827,382
976,738,341
1023,798,377
1018,778,362
999,776,365
1071,883,418
1105,854,401
1028,800,376
1079,831,390
988,764,357
1085,858,410
1082,841,396
968,738,342
1007,787,372
1045,806,376
951,732,342
1078,838,396
1074,769,358
966,742,348
1067,833,398
1092,851,406
1019,797,379
1089,842,401
994,780,370
1125,881,415
993,770,358
1052,817,380
920,686,315
1026,804,380
1060,825,387
973,754,349
1121,878,407
1164,882,398
1020,753,338
1021,763,344
1112,865,395
1102,870,405
843,686,324
944,759,353
1230,987,462
1209,957,446
1143,892,414
1067,818,378
1047,797,367
1049,793,365
1036,778,357
1008,758,350
1019,775,359
1024,800,372
1201,959,447
1245,1009,476
1289,1051,498
1267,1030,486
1307,1071,506
1361,1116,527
1312,1056,496
1269,1021,480
1303,1073,510
1385,1164,557
1426,1184,563
1312,1076,506
1209,987,469
1179,952,459
1103,871,414
1090,906,434
1183,954,458
1156,918,436
1091,862,412
1104,891,431
1214,1001,482
1367,1143,546
1365,1137,540
1378,1144,543
1362,1135,539
1343,1101,520
1275,1040,489
1250,1016,470
1229,986,460
1408,1151,541
1393,1142,536
1367,1122,525
1496,1270,605
1424,1222,589
1334,1141,546
1377,1171,562
1211,977,460
1190,937,435
1230,970,450
1236,974,451
1262,997,460
1289,1035,480
1235,1008,478
1149,928,438
1197,976,464
1060,856,409
932,728,343
1029,794,373
1057,812,380
1041,799,374
1006,773,361
1011,779,363
1042,808,376
1087,848,395
1120,875,409
1139,889,415
1143,891,416
1139,888,415
1142,890,416
1145,893,417
1128,881,412
1114,871,407
1121,876,409
1123,878,410
1116,873,407
1117,873,407
1118,873,408
1119,874,408
1119,875,408
1119,875,408
1119,875,408
1119,874,408
1119,874,408
1118,874,408
1118,874,408
1119,874,408
1119,874,408
1119,874,408
1119,874,408
1119,874,408
1118,874,407
1118,874,407
1118,873,407
1117,873,406
