R,G,B
811,622,310
817,626,312
817,626,312
817,625,312
817,626,312
816,625,312
809,620,310
816,625,312
817,626,313
811,621,310
817,626,312
816,625,312
816,625,312
811,621,310
817,626,312
810,625,312
817,626,312
816,625,312
814,624,311
815,625,312
814,624,311
813,623,311
805,617,308
812,622,310
810,621,310
808,619,309
809,620,309
809,619,309
802,614,306
806,617,307
806,617,307
801,613,305
808,619,308
808,619,308
808,618,308
801,613,305
806,617,307
805,616,307
798,611,304
805,616,306
803,614,306
803,614,306
802,613,305
800,612,304
791,605,301
795,608,302
796,609,303
795,608,302
793,606,302
790,603,300
779,595,296
773,591,294
767,586,291
755,576,286
751,572,284
750,571,284
755,576,287
757,578,289
763,583,291
763,582,291
745,567,283
750,569,283
742,561,279
745,562,279
743,560,278
741,558,277
730,549,272
729,546,271
730,543,270
728,537,268
725,531,265
725,527,264
725,518,261
718,495,253
721,464,242
709,433,231
697,376,208
677,318,184
659,265,162
651,224,146
659,198,138
663,180,132
658,167,127
662,161,125
665,158,124
668,157,125
667,156,124
671,158,125
667,157,125
669,158,126
669,158,126
673,159,126
674,159,127
679,160,128
684,162,129
702,165,132
732,171,136
738,172,137
740,173,138
741,173,138
744,174,138
739,173,138
746,174,139
749,175,139
748,174,139
755,176,140
756,176,141
757,177,141
752,176,140
760,178,142
754,177,142
762,179,143
762,179,143
761,179,143
763,179,143
764,180,143
764,180,143
758,178,142
764,180,143
765,180,144
762,179,143
765,180,144
765,180,144
760,179,143
766,181,144
766,181,144
761,179,143
767,181,144
768,181,144
769,181,144
764,180,144
769,182,145
770,182,145
764,180,144
770,182,145
767,181,144
771,182,145
771,182,145
771,182,145
765,181,144
771,182,145
771,182,145
767,181,144
771,182,145
771,182,145
771,182,145
771,182,144
771,182,145
764,180,144
769,182,145
768,181,144
767,181,144
765,180,144
766,181,144
766,180,144
759,179,143
765,180,143
764,180,143
764,180,143
763,180,143
764,180,143
758,178,142
764,180,143
764,180,143
758,178,142
765,180,143
766,180,143
765,180,143
759,178,142
765,180,143
760,178,143
766,180,143
767,180,144
766,180,144
766,180,144
766,180,144
766,181,145
760,179,143
766,180,144
767,180,144
766,181,145
767,181,145
