R,G,B
892,677,338
892,677,338
892,675,337
891,677,338
892,677,338
885,672,336
891,677,338
892,677,338
883,671,335
891,677,338
891,676,338
891,677,338
885,672,336
891,677,338
884,676,338
891,677,338
890,676,338
887,673,337
889,675,338
889,675,337
889,675,338
882,670,335
890,676,338
890,676,338
886,673,336
889,675,338
889,675,337
882,670,335
890,676,338
890,676,338
882,670,335
891,676,338
891,676,338
890,675,337
883,670,335
890,675,337
892,676,338
885,671,335
891,676,338
889,674,337
891,676,338
891,676,338
891,676,338
883,671,336
895,681,340
896,681,341
891,677,339
892,676,338
882,668,334
891,675,337
889,673,333
888,673,336
879,665,333
881,667,333
881,667,334
880,668,334
877,666,333
883,670,335
882,670,335
874,664,332
879,668,335
879,669,336
880,670,336
872,664,334
834,634,320
805,612,310
784,597,302
758,579,294
773,593,301
798,616,313
767,596,302
776,605,307
787,611,311
810,626,319
805,620,316
790,607,310
792,608,311
800,614,316
796,609,313
826,629,321
829,629,320
763,578,291
739,566,284
749,572,288
752,570,285
752,570,284
778,591,296
774,591,298
759,579,291
779,594,300
773,592,299
762,584,293
762,585,294
777,600,303
759,585,295
765,591,299
745,574,291
733,567,287
745,578,296
754,587,298
760,591,301
745,582,295
724,567,287
712,556,283
730,566,288
711,546,274
734,565,282
782,609,308
787,613,311
771,594,298
765,588,292
783,605,301
816,639,320
846,674,340
859,694,351
893,728,368
928,760,384
963,789,399
992,813,411
979,804,406
978,806,406
948,785,396
921,764,386
854,712,361
825,689,351
835,697,354
874,728,369
876,728,369
858,709,360
850,699,355
780,640,325
702,578,292
634,524,264
656,533,270
664,533,271
668,528,267
641,504,255
637,502,254
653,515,260
648,510,258
654,514,260
676,532,268
786,621,314
863,681,343
866,678,340
857,663,331
849,654,318
814,618,305
762,567,277
689,500,243
638,461,225
648,480,237
680,518,258
736,572,287
792,622,314
837,657,329
822,632,314
740,564,278
739,565,279
808,616,307
775,588,291
761,585,292
814,628,315
839,642,320
824,619,305
765,570,278
733,552,270
783,594,295
782,588,290
758,574,283
770,588,291
830,642,322
842,651,326
823,630,313
765,580,285
762,580,287
773,584,289
758,570,281
725,550,272
720,551,275
754,578,290
789,605,305
803,616,310
789,599,298
747,563,277
727,552,272
763,584,290
808,623,313
819,630,316
810,616,306
766,575,283
721,541,265
710,538,265
742,566,281
756,576,287
792,602,299
792,598,295
776,585,287
748,565,277
743,563,276
760,575,284
764,575,283
760,572,279
750,568,278
767,581,285
768,564,277
740,553,271
704,525,257
700,524,258
711,537,267
741,564,282
777,593,298
805,613,309
815,618,311
783,591,294
748,568,280
734,560,276
744,570,280
758,570,279
744,553,268
705,521,252
698,521,254
716,541,266
746,569,282
783,598,297
790,599,295
747,559,273
695,523,255
745,567,278
763,591,289
779,586,285
744,549,264
695,504,240
680,488,232
687,493,235
744,543,260
761,569,275
784,596,290
807,619,304
814,627,308
829,640,316
831,645,319
827,642,318
797,624,310
725,576,287
655,531,264
670,548,271
771,622,308
858,681,338
885,694,345
893,694,343
880,675,332
828,630,308
814,613,300
803,618,303
860,674,332
870,678,335
835,636,313
839,651,320
921,734,364
892,710,353
840,668,331
880,698,347
862,682,339
866,686,341
876,690,342
882,692,343
856,667,329
823,637,313
875,691,342
982,800,401
1064,886,449
1079,902,459
1025,840,426
930,753,378
917,746,376
890,722,367
866,678,342
823,660,331
813,647,325
832,671,341
903,731,371
959,773,390
950,765,386
991,799,403
990,798,402
981,792,398
971,786,393
1081,876,439
1086,881,439
1066,866,431
1057,864,432
1046,850,425
1015,837,420
1053,879,445
1078,897,456
1031,842,424
976,785,390
988,796,396
1036,851,428
1096,921,469
1110,950,484
1131,958,488
1131,947,481
1078,888,447
1053,866,436
1046,860,435
983,803,404
948,765,382
946,756,376
953,756,376
949,749,372
939,739,367
937,732,363
919,723,358
899,711,352
902,714,354
887,703,349
817,649,323
742,591,295
665,532,267
679,549,276
752,618,312
883,734,373
963,807,411
974,817,417
982,823,419
971,808,411
942,773,392
882,706,353
847,663,328
870,681,337
910,722,359
938,755,379
939,766,388
923,756,383
846,686,346
723,577,289
712,566,283
727,576,290
627,497,247
683,534,263
820,626,309
873,664,329
883,670,332
879,668,330
900,686,339
926,709,351
939,723,358
938,722,358
931,716,354
901,691,341
875,670,330
899,688,340
906,693,343
898,688,339
880,674,332
878,672,329
881,673,330
888,679,333
905,692,340
915,700,344
919,705,347
946,728,359
961,739,365
961,738,365
967,743,367
968,744,368
967,743,367
968,744,368
968,745,368
966,743,367
961,739,365
968,744,368
965,742,366
969,745,368
968,744,368
968,744,368
963,741,366
964,741,366
963,740,365
959,737,364
963,740,366
959,737,364
958,736,364
950,730,361
945,727,359
927,712,352
958,737,365
992,763,377
993,763,377
997,767,379
999,768,379
999,768,380
995,764,378
999,767,379
999,768,380
995,765,378
999,768,379
999,768,380
1000,768,380
999,768,380
999,768,380
996,765,378
1000,768,380
999,768,380
999,767,379
1000,768,380
999,768,380
1000,769,380
1001,769,378
999,768,380
995,765,378
1000,769,380
1000,768,380
1001,769,380
997,766,379
1001,769,380
1000,769,380
997,766,379
1001,769,380
1001,769,380
1001,769,380
1001,769,380
1002,770,381
998,767,379
1001,769,380
1003,770,381
997,766,379
1002,770,381
1002,770,381
1002,770,381
999,768,379
1001,769,380
999,770,381
1002,770,381
1002,770,381
1003,770,381
1001,769,380
1002,770,381
1001,769,380
997,766,379
1002,770,381
1001,769,380
999,768,380
1001,769,380
1001,769,380
998,767,379
1001,769,380
1001,769,380
998,767,379
1001,769,380
