R,G,B
764,171,139
757,170,137
765,171,139
758,170,137
765,171,139
765,171,139
766,171,139
758,170,137
766,171,139
765,171,139
759,170,138
765,171,139
765,171,139
765,171,139
761,171,138
766,172,139
759,170,138
766,172,139
765,171,139
759,170,138
765,171,139
766,171,139
764,171,139
758,170,137
765,171,139
766,171,139
758,170,137
765,171,139
762,170,138
765,171,139
765,171,139
765,171,139
757,169,137
764,171,138
764,171,138
757,169,137
765,171,138
763,171,138
764,171,138
764,169,137
764,171,138
756,169,137
763,170,138
764,170,138
761,170,137
764,171,138
764,171,138
764,171,138
756,169,136
762,170,137
762,170,137
757,169,137
764,171,138
764,171,138
762,170,137
764,170,138
763,170,138
753,168,136
761,169,137
760,169,137
758,168,136
761,168,137
761,169,137
762,169,137
761,168,137
762,168,136
753,166,135
760,167,136
760,167,136
759,167,135
756,166,135
758,167,135
757,166,135
750,166,134
760,169,137
759,170,137
757,168,136
757,169,136
761,171,138
757,171,138
764,173,139
765,173,139
756,171,137
764,173,138
763,172,138
764,172,138
762,172,138
766,172,138
766,172,138
767,173,138
767,172,138
761,171,138
769,173,139
770,173,139
771,174,139
765,172,138
772,174,140
772,174,140
763,173,139
770,175,140
769,175,140
770,175,140
770,175,140
770,175,140
763,173,139
770,175,140
770,175,140
759,172,138
769,173,139
765,171,138
763,170,137
755,169,136
757,168,136
750,167,135
752,166,134
750,165,134
745,164,133
750,165,133
752,168,135
751,168,135
740,164,133
748,165,134
749,166,134
745,166,134
753,168,135
755,168,136
757,168,136
761,170,137
763,171,138
756,169,136
761,169,137
760,168,136
754,166,135
762,169,137
766,172,138
766,172,138
760,170,137
766,172,139
759,170,137
762,170,137
761,170,137
760,171,138
764,173,139
760,171,137
761,170,137
754,168,135
761,170,137
763,171,138
758,169,137
766,172,138
765,172,138
761,171,138
767,173,139
768,174,140
761,172,139
768,173,140
766,172,138
762,171,138
766,172,139
767,173,139
766,172,139
759,170,137
766,172,138
758,170,137
765,173,139
765,173,139
762,171,138
760,170,137
764,172,139
766,173,139
757,171,138
767,172,139
766,172,139
766,174,140
765,173,140
764,172,139
754,171,138
761,175,140
756,171,138
741,166,134
752,171,138
751,171,138
747,170,137
744,169,136
749,171,137
750,170,137
740,165,133
749,170,137
745,168,135
755,172,138
753,169,136
751,168,135
745,169,136
757,174,140
756,171,138
750,168,136
760,169,137
761,170,138
758,169,137
758,171,138
761,172,139
752,169,137
760,171,138
758,169,137
754,169,137
761,170,138
765,171,138
767,170,138
758,168,136
770,172,139
769,173,140
765,173,139
769,173,140
766,171,138
764,169,137
766,169,137
771,172,139
764,171,138
766,170,138
772,174,141
764,173,139
761,172,139
753,169,137
746,166,135
745,166,132
742,164,133
736,165,134
748,170,137
747,167,135
745,165,134
748,167,135
751,169,137
751,169,136
747,168,136
755,170,137
755,169,137
752,166,135
753,167,135
755,169,137
747,165,134
756,169,137
755,170,137
749,168,136
757,169,137
760,170,138
761,172,139
763,174,140
765,174,141
763,170,138
763,170,138
766,171,138
761,170,138
766,170,138
766,172,139
762,170,137
756,168,136
763,170,138
762,170,138
754,167,136
762,170,138
762,170,138
762,171,139
761,172,139
758,171,139
750,170,138
753,170,138
751,170,138
748,170,138
748,170,138
743,167,136
744,166,135
740,165,134
748,167,136
743,166,135
750,169,137
752,169,137
751,167,136
752,166,136
752,166,135
751,165,135
745,166,135
754,170,138
758,174,140
757,174,140
754,170,138
752,169,136
747,167,136
755,171,138
758,173,139
752,172,139
757,173,139
759,174,140
760,174,140
751,169,137
758,172,139
764,174,141
758,172,139
763,171,139
756,169,137
763,172,139
761,172,139
761,171,139
751,168,136
762,170,138
765,169,138
762,168,137
772,172,140
769,171,139
771,174,141
761,169,138
767,171,139
758,170,138
761,169,137
762,171,138
752,169,137
754,170,138
752,170,138
748,166,135
740,166,135
745,167,136
750,170,138
740,168,136
746,170,137
742,166,135
743,166,135
745,168,136
747,169,137
743,168,136
749,168,136
755,171,139
753,170,137
759,171,138
760,171,139
762,173,140
763,173,140
764,173,140
757,169,138
763,171,139
764,174,141
763,175,141
758,172,139
766,173,141
765,172,140
760,169,138
761,167,136
762,169,138
763,171,140
766,174,141
766,173,140
759,172,139
767,174,141
762,171,138
757,170,138
763,173,140
764,173,140
764,173,140
755,172,139
763,175,141
754,170,138
759,171,139
761,175,141
755,172,139
754,171,138
753,173,140
753,174,140
744,173,139
749,174,140
747,174,140
742,171,137
750,175,140
751,174,140
750,173,140
754,176,141
754,176,141
749,174,140
756,175,141
756,173,139
757,174,140
759,176,141
763,178,143
763,178,143
756,176,141
760,174,140
756,174,140
769,180,144
769,178,143
766,176,142
758,175,141
763,177,142
760,177,142
752,175,141
757,178,143
756,178,143
756,180,144
751,179,144
755,181,145
750,180,144
756,181,145
757,181,145
755,181,145
761,182,146
762,183,146
762,182,146
756,181,145
762,183,146
762,183,146
757,181,145
763,183,146
763,183,147
763,183,147
763,183,147
764,184,147
758,182,146
763,183,147
763,183,147
761,183,146
764,183,147
763,183,147
763,183,147
763,183,147
763,183,147
757,182,146
763,183,147
763,183,147
763,183,147
759,182,146
763,183,147
763,183,147
757,182,145
763,183,147
763,183,147
763,183,147
763,183,147
763,183,147
758,182,146
764,184,147
764,184,147
758,182,146
765,184,148
765,184,148
765,184,148
758,183,146
765,184,148
759,184,148
764,184,148
764,184,147
761,183,147
764,184,147
763,183,147
763,183,147
756,182,146
764,184,147
763,184,147
759,183,146
764,184,147
764,184,147
760,183,147
765,184,147
765,184,147
758,182,146
