R,G,B
892,691,320
901,699,324
899,698,324
906,704,327
904,702,326
905,703,327
905,703,327
898,698,324
906,704,327
905,703,327
905,703,327
905,704,327
905,703,327
897,697,324
905,703,327
906,704,327
899,699,324
905,704,327
905,703,327
902,701,325
893,694,322
902,701,325
901,699,324
901,699,324
900,698,323
900,697,322
892,692,320
898,696,322
898,696,322
892,692,320
897,697,324
897,697,324
899,699,325
891,693,322
898,699,325
891,692,322
897,698,324
894,695,323
881,685,318
873,678,314
868,671,309
872,677,312
874,678,313
867,672,312
850,662,308
887,695,325
920,719,337
954,751,357
959,763,369
975,773,372
930,737,350
892,706,331
914,717,335
898,702,328
851,657,303
875,674,313
868,671,312
856,659,306
865,667,311
867,669,313
859,662,310
852,658,308
861,665,311
863,666,312
859,663,310
870,671,314
871,671,314
870,671,314
865,667,312
872,674,315
865,667,312
874,673,315
875,674,315
874,674,315
876,675,316
877,675,316
877,675,316
869,670,313
877,675,316
877,676,316
876,675,315
876,675,315
875,674,315
868,669,313
876,675,315
876,675,315
868,669,312
871,671,313
870,671,313
872,672,314
858,661,309
862,665,311
862,665,311
862,665,311
861,663,310
858,661,309
849,654,306
853,659,308
856,663,309
860,668,312
867,677,316
863,676,316
866,677,317
861,673,316
866,676,316
855,669,313
884,693,325
870,687,323
875,686,321
881,693,324
900,706,331
863,673,313
855,669,308
918,728,341
954,762,360
904,709,331
872,672,309
866,645,289
917,684,305
986,753,339
1025,804,366
1050,835,381
1042,832,379
1062,853,391
1094,886,407
1136,932,429
1203,1000,464
1214,1015,473
1219,1025,480
1129,945,445
919,771,362
799,663,311
854,691,326
881,706,332
882,704,330
915,728,340
906,715,331
864,680,310
852,665,300
884,683,307
881,668,299
812,605,269
741,557,251
763,591,271
823,650,300
885,699,321
923,716,324
870,656,293
793,588,260
767,577,259
780,597,290
860,665,304
809,622,282
845,661,303
928,722,329
903,686,309
842,629,282
786,588,264
805,614,279
861,662,304
847,643,293
810,617,281
823,634,291
899,702,326
893,687,315
876,681,314
877,671,307
832,648,300
914,719,336
881,676,309
771,591,270
843,656,304
809,616,280
778,631,291
849,654,301
779,595,272
919,720,340
917,721,339
854,665,309
836,648,298
899,707,329
862,663,302
851,668,308
859,661,302
756,566,254
744,563,267
795,615,281
832,640,291
767,582,262
795,616,280
872,673,303
816,613,271
757,559,246
814,604,266
832,636,284
868,676,305
833,655,300
744,594,273
610,501,229
770,620,283
930,745,343
936,744,342
884,689,315
830,637,289
822,625,283
840,635,287
827,621,280
821,620,281
822,619,281
811,623,284
806,639,292
842,672,311
816,660,309
770,624,293
718,581,273
747,608,285
792,641,300
812,650,302
856,694,324
916,761,360
947,794,392
1012,845,399
1017,837,390
1015,831,386
985,805,376
948,773,364
948,765,361
898,714,334
911,734,346
962,780,369
917,729,341
898,711,334
899,717,339
946,772,367
1098,919,435
1150,969,455
1138,949,444
1137,947,443
1151,966,454
1143,973,461
1128,966,462
1060,902,432
1022,848,400
1028,848,394
1077,879,408
1058,870,405
1029,849,396
1069,900,425
1081,929,445
1068,921,440
1053,900,429
901,740,348
849,681,315
881,708,328
904,728,336
902,728,350
958,783,365
854,699,328
770,626,293
737,601,284
634,515,243
635,501,232
796,610,282
878,673,310
918,706,324
931,718,330
943,727,334
928,714,328
914,700,320
896,684,312
892,682,309
908,697,317
948,730,333
967,745,340
978,754,344
967,745,340
981,755,345
987,757,347
940,720,329
923,707,322
893,685,311
937,721,327
979,754,342
989,761,346
976,752,342
979,755,343
975,751,341
966,745,338
968,746,339
962,743,337
954,738,340
968,752,343
979,763,349
985,768,352
1007,785,360
1010,788,362
1018,794,365
1014,791,364
1032,804,370
1035,806,371
1026,799,367
1039,808,372
1036,807,371
1036,806,370
1037,806,370
1029,799,366
1002,777,355
992,770,352
982,765,349
980,765,349
972,759,347
982,766,350
981,765,350
981,765,347
984,767,351
981,765,350
980,763,350
964,750,343
919,714,327
882,688,315
915,715,328
954,745,343
948,737,339
936,726,334
932,722,332
921,714,328
928,719,330
923,715,329
907,703,323
898,696,320
882,683,314
862,670,307
847,661,303
880,689,318
900,705,325
902,707,326
908,714,329
913,716,330
914,717,331
927,727,335
929,728,336
917,719,332
929,728,336
937,734,339
942,736,339
937,731,337
948,738,340
950,739,341
949,739,340
948,737,340
947,736,339
940,730,336
939,729,335
935,724,333
912,706,325
897,694,318
862,668,306
859,669,307
868,677,312
880,685,316
876,681,314
888,688,316
877,678,310
871,675,307
901,692,314
874,673,306
887,692,316
923,721,331
923,716,328
898,696,318
906,696,317
888,681,310
881,674,306
839,643,291
882,668,301
897,679,306
869,665,301
912,693,315
852,652,295
923,715,325
911,702,318
845,649,293
836,642,290
846,647,293
847,652,297
