R,G,B
1051,960,513
1050,959,513
1050,959,513
1051,960,513
1047,957,511
1050,959,513
1050,959,513
1043,952,509
1050,959,513
1050,959,512
1050,959,513
1045,955,510
1051,960,513
1044,953,510
1050,959,513
1050,959,512
1048,957,511
1049,958,512
1050,959,513
1050,959,513
1043,953,509
1050,959,513
1050,959,513
1050,959,513
1050,959,512
1050,959,512
1044,954,510
1050,959,513
1051,960,513
1044,953,510
1050,959,513
1050,959,513
1049,958,512
1043,953,509
1050,959,513
1050,959,513
1050,959,513
1050,959,513
1050,959,513
1044,954,510
1052,961,513
1051,960,513
1043,953,509
1050,959,513
1050,959,513
1051,960,513
1045,954,510
1050,959,513
1044,954,510
1050,959,512
1051,960,513
1050,959,512
1050,959,512
1049,957,510
1047,956,509
1041,950,506
1047,956,509
1046,955,509
1046,955,508
1045,954,507
1046,954,507
1038,947,504
1045,954,507
1045,954,507
1036,946,503
1043,952,506
1044,953,507
1043,952,507
1040,949,505
1047,956,509
1047,956,509
1049,958,510
1044,953,508
1006,918,489
964,880,469
966,883,472
957,877,469
933,855,456
921,844,449
933,851,453
947,862,458
942,860,458
942,862,458
956,875,466
957,875,466
952,872,465
957,876,467
968,884,470
981,896,478
991,910,488
991,917,491
1023,943,504
1015,931,496
1009,922,490
1011,918,487
1006,916,485
1004,915,485
1016,930,494
1032,951,509
992,912,489
992,906,484
990,904,484
969,887,474
990,904,482
1000,910,483
1023,922,486
1042,939,497
1061,956,503
1096,988,521
1082,975,514
1070,964,507
1069,963,508
1048,945,498
1047,943,495
1059,951,501
1033,928,488
1046,938,496
1003,902,476
983,886,469
947,858,454
929,845,449
888,807,429
885,801,425
889,806,428
924,841,449
930,852,455
953,875,468
970,886,471
942,851,450
941,846,445
960,862,455
953,857,452
967,870,460
947,855,452
900,810,428
834,750,396
825,739,391
814,730,387
898,807,425
1032,930,488
1029,927,485
1051,964,507
1065,965,507
1098,993,521
1055,957,503
1046,950,501
1016,922,486
1022,926,488
987,894,472
971,878,462
967,874,462
970,876,462
972,882,466
956,868,459
964,875,463
973,881,464
976,884,467
998,907,481
988,897,476
967,876,465
987,896,476
997,901,476
985,890,469
990,897,476
978,887,469
991,899,475
1000,911,483
992,903,477
1003,916,486
961,876,463
978,890,468
995,908,476
1043,948,498
1072,965,506
1099,991,517
1126,1021,534
1118,1018,533
1126,1026,539
1133,1032,542
1153,1052,553
1134,1037,543
1084,988,517
1020,923,484
1014,908,474
1034,924,482
994,884,462
965,875,462
1001,917,485
1022,936,501
1013,925,488
1040,945,498
1043,950,501
1013,925,491
1013,917,482
999,903,470
995,900,470
995,892,467
1027,923,483
969,880,458
973,881,461
967,875,459
963,871,457
969,876,458
980,885,463
977,883,462
992,898,472
1016,921,486
1010,917,483
1006,914,481
1023,930,490
1025,932,490
1033,941,496
1052,958,505
1019,927,486
1045,950,499
1054,960,506
1040,947,498
1019,928,489
1045,950,501
1051,956,504
1033,939,494
1027,934,491
1024,934,491
1015,923,489
1035,941,492
1042,947,497
1032,937,492
1031,936,492
1021,930,488
1026,935,490
1037,945,497
1059,963,508
997,904,475
992,901,474
1004,913,483
995,904,477
1002,909,481
987,895,472
979,887,467
979,888,468
999,907,480
1013,920,485
1017,925,487
1002,913,481
996,907,478
1003,913,480
1006,917,484
996,907,479
969,884,466
986,901,475
985,899,475
995,906,479
977,890,471
977,890,471
975,890,473
960,876,463
972,888,470
984,900,479
981,906,481
994,908,481
1019,930,493
1014,922,488
1027,935,495
1062,968,515
1043,952,507
1023,934,497
1007,921,491
1015,930,497
990,906,483
971,888,473
962,879,468
982,895,477
968,879,467
958,868,461
957,865,461
953,861,459
943,851,453
962,871,464
982,893,476
974,885,471
972,883,470
972,884,471
979,891,476
987,902,483
1013,929,497
1044,956,512
1080,983,526
1095,994,533
1073,975,521
1063,968,516
1097,1001,537
1097,1001,534
1093,997,532
1087,1001,533
1107,1010,538
1109,1012,540
1064,969,517
1052,956,510
1024,929,497
1039,948,507
998,917,491
1009,925,497
993,906,484
989,902,483
993,905,484
985,896,478
971,885,473
974,890,477
975,890,476
989,902,484
981,896,478
1004,917,490
1035,942,500
1043,944,500
1082,975,517
1072,965,509
1030,930,489
1027,932,491
991,902,475
996,907,479
989,900,475
1004,915,484
1036,941,498
1091,988,524
1081,977,519
1058,960,511
1039,947,504
1015,930,497
993,910,474
965,877,465
961,871,462
945,857,455
962,871,462
959,869,460
978,888,472
952,862,460
974,886,472
1004,916,490
1024,936,500
1083,984,524
1098,994,528
1125,1016,542
1104,997,531
1101,995,530
1095,990,528
1103,997,531
1102,996,530
1102,996,529
1096,990,527
1102,996,529
1101,995,529
1101,988,525
1101,995,528
1097,992,526
1100,994,528
1101,995,529
1102,996,530
1095,990,526
1103,997,530
1103,997,530
1101,995,529
1101,995,528
1101,995,528
1094,989,525
1101,995,529
1101,995,529
1094,989,525
1102,996,529
1102,996,529
1100,994,528
1093,988,525
1101,994,528
1100,994,527
1091,985,521
1099,992,525
1100,993,526
1097,991,526
1101,995,528
1101,995,528
1094,988,525
1101,995,528
1101,995,528
1101,995,529
1096,990,526
1101,995,528
