R,G,B
812,623,289
811,623,288
811,623,289
811,623,288
811,623,289
811,623,289
812,623,289
811,623,288
802,617,284
801,616,284
807,620,288
864,708,335
998,840,406
817,676,339
749,624,313
648,592,288
1024,996,481
1024,1024,521
1024,1024,719
1024,1024,632
1024,1024,628
1024,1024,593
1024,1024,616
1024,1024,628
1024,1024,699
1024,1024,628
1024,1024,664
1024,1024,609
1024,1024,562
1024,1024,662
1024,1024,628
1024,1024,520
1024,1024,525
1024,1024,562
1024,1024,580
1024,1024,570
1024,1024,611
810,825,409
565,587,304
198,296,166
185,292,172
163,262,154
145,225,132
130,208,119
153,231,137
146,215,129
132,205,119
142,218,130
148,226,133
139,216,124
146,226,133
135,213,123
151,233,139
135,209,121
130,198,116
144,224,129
135,211,126
147,224,132
132,213,124
143,224,133
151,229,134
349,427,224
828,687,330
869,708,338
972,804,383
959,795,377
984,817,390
1004,831,396
954,798,382
904,745,359
848,698,335
667,501,235
645,481,226
660,495,233
664,498,234
663,497,234
663,497,234
664,498,234
664,498,234
664,498,234
666,499,234
666,499,234
665,499,234
665,498,234
665,499,234
666,499,234
666,499,234
668,501,235
667,500,235
667,500,235
668,501,235
667,501,235
667,501,235
666,500,234
664,498,234
666,500,234
647,483,227
