R,G,B
104,76,38
108,78,40
116,79,39
115,72,36
126,91,44
345,269,131
1024,1024,492
1005,844,406
1019,855,410
977,828,400
991,841,406
981,820,393
831,645,304
847,687,325
840,681,325
805,604,277
818,616,282
819,628,289
994,822,398
872,695,334
759,582,271
767,600,282
934,783,379
634,541,269
1024,1024,498
1024,1024,601
1024,1024,568
1024,1024,589
1024,1024,628
1024,1024,634
1024,1024,682
1024,1024,604
1024,1024,496
1024,1024,521
726,1024,583
852,1024,700
849,1024,684
735,1024,590
732,1024,582
617,1024,500
700,1024,570
716,1024,577
698,1024,569
716,1024,585
697,1024,565
708,1024,578
635,1024,512
768,1024,622
835,1024,704
826,1024,656
965,841,395
838,685,327
898,739,353
858,701,334
803,653,314
645,480,225
659,515,250
867,723,347
568,449,212
857,726,354
870,698,334
969,825,406
1024,894,438
1024,901,444
1024,901,443
1024,902,444
1024,902,444
1024,903,445
1024,903,444
1024,904,446
1024,903,445
1024,899,443
1024,903,445
916,773,383
91,67,33
189,143,69
1024,877,428
1024,859,418
1024,866,422
1024,862,420
1024,859,418
1024,863,420
1016,852,413
1013,850,413
1010,848,411
1010,847,411
1024,879,428
